Year,Description,Category
1994,Operation Gatekeeper was enacted leading to the construction of fence refortifications along the border and increasing the budget for U.S. Border Patrol. Over the next few years the number of officers and budget for BorderPatrol would double.,Binational
1995,Virginia Ave border crossing (which was located in where the current PedWest facility is) closes for commercial operations and all is consolidated at the Otay Mesa POE,Binational
1996,SANDAG creates the Committee on Binational Regional Opportunities (COBRO) to help coordinate on increasingly dynamic border issues,Binational
1996,"Secure Electronic Network for Travelers Rapid Inspection (SENTRI) lane opened at Otay Mesa LPOE (1 lane), which was the first of it's kind to be implemented in the U.S.",Binational
1997,"SANDAG and COBRO began hosting Annual Binational Events to bring together stakeholders from both sides of the border to seek out solutions and identify opportunities around a wide range of topics ranging from water and energy supply,crossborder climate change to border wait times and homeland security issues. ",Binational
2000,"Connecting roadway to the Otay Mesa POE (then Otay Mesa Road) is designated as an expressway was widened to six lanes in 2000. Before, it had 50 percent more traffic than it was designed to handleit was considered by the San Diego Union-Tribune as ""California's busiest trade route with Mexico"".",Binational
2000,SENTRI lane implemented at the San Ysidro POE,Binational
2001,"SANDAG forms the Borders Policy Committee, which was reaffirmed in 2003 by law SB 1703, with Imperial County as a regular member, and representatives from neighboring Orange and Riverside Counties and Mexico. Tribal Governments, through the Southern California Tribal Chairmen’s Association, became Advisory Members of Borders, and later of the Board of Directors and other PACs. ",Binational
2001,"Terrorist attacks of September 11, 2001 change the dynamics of border crossings around the country. Protective measures of the nation's borders begin scaling up.",Binational
2001,C-TPAT secure-cargo shipping program launched,Binational
2002,"Under the Homeland Security Act (2002) the federal government establishes the Department of Homeland Security (DHS). Security, compliance and facilitation of international travel and trade is consolidated under Customs and Border Protection (U.S. CBP).",Binational
2002,"DHS implements heightened security measures, shifting from mostly randomized screenings for cars and people to comprehensive checks for nearly all crossers. Other screenings included the collection of fingerprints and biometric data (i.e. USVISIT program). The level of comprehensive checks decreased over time as CBP began to experience capacity/resource issues. ",Binational
2004,"Congress passed the Intelligence Reform and Terrorism Prevention Act, which authorized increased spending adding 10,000 new agents to U.S. Border Patrol",Binational
2006,"SANDAG completes the ""Economic Impacts of Wait Times at the San Diego–Baja California Border"" study, which was the first to quantify the economic impacts of delays experienced at the border.",Binational
2007,"The Imperial Valley Association of Governments completes the ""Imperial Valley-Mexicali Economic Delay Study"", which quantified impacts of delays experienced at the POEs in Imperial County.",Binational
2008,"Global Economic Recesson starts, significantly reducing the number of crossborder trips ",Binational
2008,"In an effort to address organized crime, U.S. and Mexican federal governments sign The Mérida Initiative. This instituted a higher level of binational cooperation and ushered in a ""21st-century border"" (included funding for border security/communications technology improvements). Later phases added Mexico's southern border as a focus for secirty funding, which impacted the volume of South American immigration.",Binational
2008,SANDAG is issued the U.S. Presidential Permit for the Otay Mesa East POE and also recieves Toll Authority through legislation (Senate Bill 1486).,Binational
2009,"The Western Hemisphere Travel Initiative (WHTI) requires that all travelers entering the country, foreigners and U.S. citizens alike, must present a passport or other accepted document to prove their nationality and identity",Binational
2010,"SANDAG completes the ""San Diego and Imperial County Freight Gateway Study"", which became a key resource for planning around the dynamics of frieght movements throughout the border region.",Binational
2010,SR 905 is converted to a full freeway and a portion is opened to the public,Binational
2011,"Memorandum of Understanding is signed between key Otay Mesa East Port of Entry project partners (U.S. General Services Administration, U.S. CBP, U.S. Federal Highways Administration, Caltrans and SANDAG)",Binational
2012,"All roadway segments of SR 905 finish construction, connecting the border areas of San Ysidro and Otay Mesa to the I-5 and I-805 corridors",Binational
2012,California Transportation Commission approves the implementation of State Route 11,Binational
2013,The western portion of the Las Americas Premium Outlets opens in San Ysidro,Binational
2014,The eastern portion of the Las Americas Premium Outlets opens in San Ysidro,Binational
2014,"MOU signed between the State of California and the Mexican federal government, forming a binational oversight committee to expedite the OME project",Binational
2014,"President Barack Obama announced an executive action on immigration reform, which granted temporary work permits and indefinite deportation exemptions to four million undocumented immigrants",Binational
2015,"The Cross Border Xpress (CBX) facility opens to the public in December 2015, marking a milestone in binational collaboration and providing a direct connection between the U.S. (via the Otay Mesa area) and the Tijuana International Airport in Mexico.",Binational
2016,"SANDAG and Caltrans open the first segment of State Route 11 to traffic, which provides access to the future OME POE. Key freeway connectors are also opened to traffic, linking SR 11 to the SR 905 and SR 125.",Binational
2017,Caltrans and SANDAG began pilot program to test technology which uses Wi-Fi detection equipment to measure border wait times.,Binational
2018,U.S. Presidential Permit authorizing the construction of the OME border crossing is renewed,Binational
2018,"The Secretary of Foreign Affairs of Mexico, Luis Videgaray, makes a historic first visit to SANDAG, underscoring the significance of binational and regional collaboration as well as the importance of the SR 11/ Otay Mesa East Port of Entry project.",Binational
2019,"All right-of-way is secured for the site of the future OME POE, as well as remainder of needed right-of-way for SR 11",Binational
2019,"The Governors of California, Baja California and Baja California Sur announce the reactivation of the Commission of Las Californias.",Binational
2020,"The new United States, Mexico, and Canada Free Trade Agreement (USMCA) is signed by President Donald Trump after several iterations. The agreement is not in affect as it is pending full congretional ratification from Canada.",Binational
1993,Shoreline Preservation Strategy,Historic Land Use
1995,Nearshore Habitat Inventory,Historic Land Use
1996,Regional Beach Monitoring Program established,Historic Land Use
1996,San Diego Regional Clean Cities Coalition,Historic Land Use
1997,South County - Multiple Species Conservation Program,Historic Land Use
2000,"SANDAG adopts the $29 billion, 20-year Regional Transportation Plan to reduce traffic congestion and limit urban sprawl.",Historic Land Use
2001,Regional Beach Sand Project,Historic Land Use
2001 - Present,Regional Beach Monitoring Program Annual Report and Appendixes,Historic Land Use
2002,State of the Coast Report - Regional Beach Monitoring Program,Historic Land Use
2003,North Country - Multiple Habitat Conservation Program,Historic Land Use
2003,Series 10: 2030 Regional Growth Forecast - Historical Projection,Historic Land Use
2004,Smart Growth Concept Map revealed,Historic Land Use
2004,Transet Environmental Mitigation Program,Historic Land Use
2005,Environmental Mitigation Program Working Group Established,Historic Land Use
2006,Sand Compatibility and Opportunistic Use Program,Historic Land Use
2006,Series 11: 2030 Regional Growth Forecast Update - Historical Projection,Historic Land Use
2007,San Diego Regional Beach Sand Replenismnet Project Feasibility Study,Historic Land Use
2007,Coastal Regional Sediment Management Program,Historic Land Use
2008,East County - Multiple Species Conservation Program,Historic Land Use
2009,"Regional Alternative Fuels, Vehicles, and Infrastructure Report (SANDAG)",Historic Land Use
2009,Regional Energy Strategy  (SANDAG),Historic Land Use
2009,"SANDAG and partner agencies acquired nine properties totaling nearly 1,000 acres for habitat conservation through TransNet Environmental Mitigation Program.",Historic Land Use
2010,Climate Action Strategy (SANDAG),Historic Land Use
2010,Energy Roadmap Program,Historic Land Use
2010,Series 12: 2050 Regional Growth Forecast - Historical Projection,Historic Land Use
2011,Sustainable Communities Strategy (SCS). First in the state,Historic Land Use
2011,Conservation and Open Space Element (County),Historic Land Use
2012,Buena Vista Lagoon Enhancement Prokect,Historic Land Use
2012,Regional Beach Sand Project,Historic Land Use
2013,Purchase of Agricultural Conservation Easement (PACE) Program (County),Historic Land Use
2013,Series 13: 2050 Regional Growth Forecast,Historic Land Use
2014,Sustainable Communities Strategy (SCS),Historic Land Use
2016,Waste Management Plan for Alexan - Fashion Valley Project,Historic Land Use
2016,"As of December 2016, the TransNet Environmental Mitigation Grant Program has helped SANDAG acquire more than 8,600 acres of sensitive habitat in partnership with other organizations and conservation groups. ",Historic Land Use
2017,"Waster Managemet Plan, 5 Year Review (county) ",Historic Land Use
2017,Management and Monitoring Strategic Plan for Conserved Lands in Western San Diego County: A Strategic Habitat Conservation Roadmap,Historic Land Use
2017 - present,North County - Multiple Species Conservation Program Development Starter,Historic Land Use
2017 - present,Quino Butterfly Addition to South County MSCP,Historic Land Use
2019,Climate Action Plan (City of San Diego),Historic Land Use
1898,SDSU Opens,Education
1949,Construction of what will become the first college of USD begins,Education
1955,"San Diego City Council offers the University of California, at no cost, “city-owned land for students who are desirous of entering into the professional field of engineering.”",Education
1960,San Diego State College becomes a member of the California State University system.,Education
1960,"On November 18, the University of California, San Diego is officially established and students enroll. The campus is realized through state appropriations, a donation from General Dynamics and a gift from the city of 63 acres of pueblo land northeast of Scripps Institution of Oceanography.",Education
1960,SDSU establishes KPBS-FM educational radio station,Education
1963,John F. Kennedy give commencement speech at San Diego State College (later SDSU),Education
1964,"University of California at San Diego opens 1,000-acre La Jolla campus",Education
1966,"UC San Diego begins operating “University Hospital” as its primary clinical teaching facility. Second College is renamed after conservationist and author, John Muir.",Education
1978,"San Diego's first biotechnology company, Hybritech, is co-founded by UC San Diego assistant professor Ivor Royston and his research assistant Howard Birndorf. Since then, faculty, staff and alumni have created more than 640 companies, including many local biotech firms.",Education
1986,"The San Diego Supercomputer Center opens at the University of California, San Diego",Education
1987,UC San Diego Alumnus Susumu Tonegawa wins the Nobel Prize for Physiology or Medicine for his discovery of the genetic mechanism that produces antibody diversity.,Education
1990,"California State University, San Marcos, opens",Education
1992,"Scripps Institution of Oceanography at UC San Diego opens the Stephen Birch Aquarium and Museum on September 16, 1992.",Education
2007,"The campus successfully concludes The Campaign for UC San Diego, a seven-year initiative that raises more than $1.01 billion in private support from over 100,000 individuals and organizations.",Education
2014,"The J. Craig Venter Institute—a $37 million research facility—is launched by alumnus J. Craig Venter. Researchers focus on everything from continued sequencing and analysis of the human genome, to new research in synthetic biology and cataloging and sequencing of the vast unseen life in the world’s oceans, rivers and soils.",Education
2017,Sally Roush first woman to be named president of SDSU,Education
2018,UC San Diego is named the top public university in the nation for social mobility by Washington Monthly. One-third of the incoming 2018 class is the first in their family to attend a four-year college and 40 percent come from low-income households.,Education
1958,City Council approves zone change to allow May Department Stores Company to build shopping center in Mission Valley. (https://sandiegohistory.org/archives/books/citydream/chronology/). The Mall (1st in the county) was completed in 1961.,Retail
1961,Mission Valley Shopping Center opens.,Retail
1961,Grossmont Shopping Center opens.,Retail
1969,Fashion Valley Mall opens.,Retail
1971,Bazaar del Mundo opens shop in Old Town featuring specialty Latin America gifts and items.,Retail
1972,Shopping Center opens in El Cajon later to be named Parkway Plaza,Retail
1977,University Towne Centre shopping mall opens near UCSD.,Retail
1981,Plaza Bonita shopping center opens in National City.,Retail
1985,Horton Plaza shopping center opens as $140 million cornerstone of downtown redevelopment.,Retail
1986,North County Fair shopping center opens in Escondido.,Retail
1989,Del Mar Highland Town Center opens,Retail
1990,13.5 thousand retail employees,Retail
1991,14.6 thousand retail employees,Retail
1992,13.8 thousand retail employees,Retail
1993,14.2 thousand retail employees,Retail
1994,14.6 thousand retail employees,Retail
1995,14.9 thousand retail employees,Retail
1996,14.7 thousand retail employees,Retail
1997,15.4 thousand retail employees,Retail
1998,16.2 thousand retail employees,Retail
1999,15.8 thousand retail employees,Retail
2000,16.6 thousand retail employees,Retail
2001,Las Americas Premium Outlets opens in San Ysidro,Retail
2001,16.3 thousand retail employees,Retail
2002,16.3 thousand retail employees,Retail
2003,15.9 thousand retail employees,Retail
2004,17.5 thousand retail employees,Retail
2004,Carlsbad Premium Outlets opens name-brand and designer outlet shopping center.,Retail
2005,19 thousand retail employees,Retail
2006,19.4 thousand retail employees,Retail
2006,Otay Ranch Shopping Center opens.,Retail
2007,19.3 thousand retail employees,Retail
2008,19 thousand retail employees,Retail
2009,18.8 thousand retail employees,Retail
2010,17.8 thousand retail employees,Retail
2011,16.6 thousand retail employees,Retail
2012,15.8 thousand retail employees,Retail
2013,15.3 thousand retail employees,Retail
2014,15.5 thousand retail employees,Retail
2015,15.9 thousand retail employees,Retail
2016,15.3 thousand retail employees,Retail
2017,15 thousand retail employees,Retail
1904,"San Diego County Hospital opens at the north end of Front Street on mesa overlooking Mission Valley. Total cost is about $60,000.The 90 patients residing in the previous county medical institution, the County Poor Farm in Mission Valley, are transferred up the hill on May 15th.",Healthcare
1922,Naval Hospital Balboa Park is commissioned on 22 August with initial capacity of 250 beds.,Healthcare
1924,"Ellen Browning Scripps made a $250,000 contribution to establish the forty-four-bed Scripps Hospital in La Jolla",Healthcare
1933,the first hospital in Escondido opened under the name Escondido Community Hospital,Healthcare
1945,"By the end of WWII, the Naval Hospital grows to 241 buildings with a bed capacity of 10,499.",Healthcare
1950,Palomar Memorial Hospital opened with a capacity of 37 beds,Healthcare
1953,"The Naval hospital treats about 90,000 patients during the Korean conflict",Healthcare
1955,Grossmont Hospital opens,Healthcare
1957,"Sharp performs San Diego's first cardiac catheterization, a procedure that enables cardiologists to see inside the heart and major arteries.",Healthcare
1958,Sharp Memorial Hospital performs San Diego's first open-heart surgery.,Healthcare
1961,Sharp HealthCare installs the first electronic pacemaker west of St. Louis.,Healthcare
1962,"The first major long-term rehabilitation center specializing in care for patients with spinal cord, stroke and brain injuries opens at Sharp Memorial Hospital.",Healthcare
1963,"Construction of the new, 600-bed County Hospital is completed in July at a cost of $11.5 million for building and equipment.(UCSD)",Healthcare
1964,The new 240-bed Scripps Memorial Hospital La Jolla opens on Genesee Avenue.,Healthcare
1967,UC San Diego Health announces plans to open the region’s first kidney transplant unit.,Healthcare
1968,"A pioneering family planning clinic is opened, offering contraception information and all types of birth control options.(UCSD)",Healthcare
1968,"San Diego’s first organ transplant, a kidney transplant, is performed on a 32-year-old former aircraft worker with a kidney donated by his older brother. (UCSD)",Healthcare
1972,Sharp Memorial Hospital features San Diego's first fully computerized laboratory reporting system.,Healthcare
1972,Sharp introduces San Diego's first patient representative program with a full-time staff member. The representative acts as an advocate for patients in meeting their needs and concerns during hospitalization.,Healthcare
1972,The Veterans administration opens a $48 million hospital adjacent to UCSD Hospital.,Healthcare
1973,Neurologists successfully treat refractory epilepsy patients with a special brain surgery that removes small sections of the brain where seizures occur.(UCSD),Healthcare
1974,Sharp HealthCare introduces the first driver-education program for disabled individuals in San Diego.,Healthcare
1976,Sharp debuts San Diego's first hospital-based alcohol and drug treatment program.,Healthcare
1976,·  San Diego's first total body Computerized Tomography (CT) scanner to provide a three-dimensional detailed image of internal organs.,Healthcare
1976,The Regional Trauma Center opens.(UCSD),Healthcare
1977,The UC San Diego Outpatient Center in Hillcrest is completed.,Healthcare
1977,San Diego Hospice is founded.,Healthcare
1977,"Pomerado Hospital opened as the District’s second hospital, which today is a 107-bed acute-care facility.",Healthcare
1982,many employers began to offer employees preferred provider organizations (PPOs) and HMO plans other than Kaiser,Healthcare
1983,Sharp creates the first hospital-based program designed for the young children of alcoholics and other chemically dependent parents at Sharp Vista Pacifica,Healthcare
1985,Sharp Memorial Hospital performs the first implantation of an implantable cardioverter defibrillator (ICD),Healthcare
1990,"Sharp HealthCare performs its first kidney transplant on July 19, 1990, at Sharp Memorial Hospital.",Healthcare
1990,Scripps Green Hospital starts San Diego’s first successful liver transplant program.,Healthcare
1992,Sharp performs its first heart-lung transplant surgery.,Healthcare
1992,California Public Employees Retirement System (CalPERS) took an assertive bargaining stance with health plans on behalf of its one million state and local government enrollees,Healthcare
1995,"HMOs accounted for about half of 2.1 million insured enrollees, including two-thirds of employment-based health insurance enrollees, 43 percent of Medicare enrollees, and about 17 percent of Medi-Cal enrollees",Healthcare
1996,"UC San Diego Health surgeons successfully separate conjoined twins, born attached at the chest and abdomen. The separated twins are discharged nine days later.",Healthcare
1998,"Scripps Center for Women’s Health, which includes 12 state-of-the-art birthing suites, opens at Scripps Memorial Hospital La Jolla.",Healthcare
1999,"Scripps Health, Scripps Clinic and The Scripps Research Institute join forces to create the Scripps Cancer Center integrating basic research, clinical research, cancer care and community outreach.",Healthcare
2002,Sharp Memorial Hospital performs the first heart-kidney transplant in San Diego.,Healthcare
2002,Scripps opens Mercy Gardens to house AIDS/HIV patients on the campus of Scripps Mercy Hospital,Healthcare
2007,Sharp Memorial Hospital and San Diego Cardiac Center participate in the first-ever human gene transfer therapy clinical trial in patients with heart failure.,Healthcare
2007,"Scripps Mercy Hospital acquires da Vinci, an advanced robotic surgery system that can make many surgeries less invasive",Healthcare
2008,"Roger Tsien, PhD, professor of pharmacology, chemistry and biochemistry at UC San Diego School of Medicine, shares the Nobel Prize in chemistry for his work with glowing proteins, now being used as a surgical aid.",Healthcare
2014,California Department of Public Health designates the five UC medical centers as the state's primary Ebola treatment centers.,Healthcare
2018,"The Koman Family Outpatient Pavilion opens to patient care in March, 2018.",Healthcare
1932,"Reuben H. Fleet moves Consolidated Aircraft (which becomes Convair) from Buffalo, New York to San Diego. Fleet had organized the first U.S. Air Mail Service in 1918.",Manufacturing
1935,Consolidated Aircraft opens first plant along Pacific Highway to build 50 P-30 pursuit planes for Army. First PBY-1 is launched on test flight on San Diego bay in 1936 – Consair employment rises from 900 in 1935 to 3700.,Manufacturing
1939,Goodrich Corp Aerostructures Systems established in San Diego,Manufacturing
1951,Cubic Inc established in San Diego,Manufacturing
1959,General Dynamics established in San DIego,Manufacturing
1965,Maxwell Technologies Inc established in San Diego,Manufacturing
1965,"Mexico authorizes maquiladora factories, Mexican assembly or manufacturing operations that can be wholly or partially owned and managed by non-Mexican companies.",Manufacturing
1971,Kyocera established in San Diego,Manufacturing
1985,Axelgaard Manufacturing Co. Ltd established in San Diego,Manufacturing
1986,ViaSat Inc established in San Diego,Manufacturing
1987,Life Technologies Corp established in San DIego,Manufacturing
1993,General Atomics Aeronautical Systems Inc established in San DIego,Manufacturing
1995,General dynamics closes Convair division in SD,Manufacturing
1854,"Warner’s Pass (San Pasqual) road is declared a public road by the San Diego County Board of Supervisors, serving as a main road between San Diego and the Colorado River until 1868, when shorter routes to the south, leading through the pass at Jacumba, began to be used by stagecoaches.",Goods Movement
1857,James Birch establishes the “Jackass” mail route between San Diego and San Antonio; passengers must traverse the Oriflamme Canyon and Colorado Desert on muleback. Stage driver James E. Mason brings first overland mail to town and decides to settle here.,Goods Movement
1882,Carlsbad Mineral Water was discovered,Goods Movement
1885,Transcontinental railroad reaches San Diego. The first train of the California Southern departs from San Diego on November 15 and on November 21 the first train arrives from the east.,Goods Movement
1886,"Construction begins on Cuyamaca Dam and a wooden flume 35 miles long to bring water to San Diego, completed in 1888.",Goods Movement
1913,Broadway Pier is constructed,Goods Movement
1919,"San Diego & Arizona Railroad is finally completed. John D. Spreckels drives the final golden spike. A thousand spectators observe. After thirteen years of labor (and $17,000,000) San Diego achieves a direct link with the East.",Goods Movement
1920,"San Diego’s Pacific Marine Construction company launches two concrete ships, the Cuyamaca and the San Pasqual. Begun during WWI but completed after the war ended, both ships serve as oil tankers.  ",Goods Movement
1930,"At San Diego International Airport, the San Diego-Los Angeles airmail route was initiated on June 1. At 5 p.m. sharp, the first airmail plane left the only building at the airport.",Goods Movement
1942,"San Diego International Airport: The U.S. Army Air Corps took over the airport in 1942, and Army engineers improved the existing runways to accommodate the heavy bombers churned out by San Diego's aircraft manufacturers during World War II.",Goods Movement
1944,San Diego County Water Authority created,Goods Movement
1947,San Diego Water Authority with Navy and U.S. Bureau of Reclamation to construct the first two pipelines linking San Diego County and the Colorado River Aqueduct,Goods Movement
1962,San Diego Unified Port District created,Goods Movement
1963,San Diego Unified Port District: Tenth Ave. Marine Terminal Bulkloading Facility Completed,Goods Movement
1968,San Diego Unified Port District: Cargo handling begins at National City Marine Terminal,Goods Movement
,Pipelines,Goods Movement
,"Railroads (SDAE, Santa Fe and BNSF)",Goods Movement
1983,"Otay Mesa Land Port of Entry opened to traffic, providing additional capacity to the border. ",Goods Movement
1990,San DIego Unified Port District: National City Marine Terminal receives first vehicle imports,Goods Movement
1992,"State designates SANDAG as the San Diego-Coronado Bridge Toll Authority. SANDAG helps form a five-county rail coalition, and purchases rail right-of-way from Santa Fe Railway for the COASTER, and the Oceanside to Escondido SPRINTER rail commuter services.",Goods Movement
1994,North America Free Trade Agreement (NAFTA) was enacted. Side agreements result in the creation of the North American Development Bank (NADB) and the Border Environmental Cooperation Commission (BECC) spurring high levels of border related investment.,Goods Movement
1999,"Mexico surpassed Japan to become California’s top export trade market. Mexico was second in total trade with the U.S., but is now third because China surpassed it as of 2006 ",Goods Movement
2001,C-TPAT secure-cargo shipping program launched,Goods Movement
2004,BNSF is the major carrier in the county and its mainline extends from the border with Orange County down the coast to National City. The port of San Diego is the major freight supplier. In 2004 BNSF moved 2.8 million tons of freight and increase of 23.3 percent over 2003. BNSF also has a branch line between Escondido and Oceanside.,Goods Movement
2005,"SDIA handled more than 167,000 tons (air cargo) ",Goods Movement
2006,approximately $29.8 billion in trade was handled by the Otay Mesa and Tecate POEs in San Diego County,Goods Movement
2007,SANDAG awarded $432 million in state infrastructure bond dollars for transportation improvements.,Goods Movement
2007,SANDAG and the City of Tijuana approve the Otay Mesa-Mesa de Otay Binational Corridor Strategic Plan.,Goods Movement
2009,the Water Authority played a key role in helping pass a historic legislative package designed to make long-term improvements in statewide water management and water supply reliability.,Goods Movement
2012,"SR 905 opened to traffic, providing access to Otay Mesa Port of Entry",Goods Movement
2012,Dole extends,Goods Movement
2014,Began construction to expand the San Ysidro Freight Rail Yard – an important project to expedite loading between freight cars and trucks.,Goods Movement
,SR 11 various segments,Goods Movement
2016,"the Port established a Blue Economy Incubator Program to assist in the creation, development, and scaling of new business ventures on San Diego Bay, focusing on aquaculture, or the cultivation of aquatic plants and rearing of aquatic animals for food; and on Blue Tech, particularly the research and development of technology for sustainable ocean use.",Goods Movement
2016,SY Freight Rail Yard and South Line Freight Rail Capacity projects,Goods Movement
2017,"The Port has two marine cargo terminals, Tenth Avenue and National City, which processed over 1.8 million tons of cargo in 2017 including automobiles, agricultural commodities, lumber, and wind energy components.",Goods Movement
2017,"Cruise ship terminals that are enjoying increased activity, with 88 cruise calls in 2017, up over 14 percent since 2015",Goods Movement
2019,SR 11: construction started on the last segments of the highway,Goods Movement
2019,"Major industrial users including shipbuilding and boat building and repair facilities such as National Steel and Shipbuilding Company, BAE Systems Ship Repair, Huntington Ingalls Industries, and Marine Group Boat Works",Goods Movement
2020,"The new United States, Mexico, and Canada Free Trade Agreement (USMCA) is signed by President Trump after several iterations. The agreement is not in effect as it is pending congressional ratification from Canada.",Goods Movement
1868,"Kimball brothers buy 26,400 acres of Rancho de la Nacion and lay out National City.",Professional
1868,"Ephraim Morse presents a resolution to the Board of Trustees of San Diego that land be set aside for a city park. Morse, Thomas Bush and Alonzo Horton select the land now known as Balboa Park.",Professional
1870,first bank in the San Diego: the Bank of San Diego; followed by the Commercial Bank of San Diego in 1872. The tow merged in the Consolidated Bank of San Diego in 1879. (https://sandiegohistory.org/archives/books/smythe/part6-8/),Professional
1888,"San Diego’s 1880s real estate boom ends. By the end of the decade the population has dropped from 40,000 to 16,000.",Professional
1893,Wall Street panic leads to lengthy depression.,Professional
1894,"Bad times encourage Alonzo Horton to sell his half-block Horton Plaza park to the city for $10,000, stipulating that it must remain a park forever. Under the agreement, the city agrees to pay Horton $100 a month with no interest and no down payment. In the event of Horton’s death, the city would acquire the property outright. The city fathers underestimate Horton’s endurance. In April 1903, 89-year-old Horton cashes the final payment for a total of $16,000. Today Horton’s park fronts Horton Plaza and has been renamed Horton Plaza Park.",Professional
1907,"Development of Presidio Park begins; Marston, Spreckels, Scripps and other investors begin buying Presidio property to preserve as a park.",Professional
1941,"Construction begins on Linda Vista defense housing project. The biggest construction job in SD’s history – McNeil and Zoss contract to build 3000 units in 300 days for $9,070,000.",Professional
1945,World War II ends. San Diego soon experiences recession.,Professional
1968,Committee of 100 leads successful bond drive for first historic reconstruction in Balboa Park (Casa del Prado completed 1971).,Professional
1998,"Voters approve convention center expansion, downtown Padres ballpark, $1.5 billion city school bonds.",Professional
2018,"Real Estate brokers, agents, and manager account for over 4,000 jobs in San Diego County",Professional
2018,"more than 10,000 individuals employed in an insurance industry ",Professional
2018,"Business and Financial Operations occupations account for more than 92,000 jobs in San Diego County",Professional
